rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0073.jpg,29.2,0.8086,0.7673,0.75,1,7,6,FALSE,TRUE
2,frame_0074.jpg,29.6,0.7413,0.7827,0.5,1,7,4,FALSE,FALSE
3,frame_0000.jpg,0,0.7032,0.7814,0.375,1,6,3,FALSE,TRUE
4,frame_0033.jpg,13.2,0.6923,0.6846,0.5,1,7,4,FALSE,TRUE
5,frame_0130.jpg,52,0.6844,0.7757,0.375,0.92,3,3,FALSE,TRUE
6,frame_0004.jpg,1.6,0.6681,0.6362,0.5,1,4,4,FALSE,FALSE
7,frame_0328.jpg,131.2,0.6601,0.6881,1,0.08,10,8,FALSE,TRUE
8,frame_0070.jpg,28,0.6533,0.6817,0.375,1,5,3,FALSE,FALSE
9,frame_0124.jpg,49.6,0.6508,0.6546,0.625,0.68,6,5,FALSE,TRUE
10,frame_0008.jpg,3.2,0.6494,0.7487,0.25,1,3,2,FALSE,TRUE
11,frame_0001.jpg,0.4,0.6493,0.6737,0.375,1,7,3,FALSE,FALSE
12,frame_0291.jpg,116.4,0.6473,0.6586,0.5,0.84,6,4,FALSE,TRUE
13,frame_0298.jpg,119.2,0.6384,0.6778,0.625,0.56,6,5,FALSE,TRUE
14,frame_0072.jpg,28.8,0.6381,0.6512,0.375,1,6,3,FALSE,FALSE
15,frame_0015.jpg,6,0.6355,0.6459,0.375,1,3,3,FALSE,TRUE
16,frame_0294.jpg,117.6,0.6314,0.6748,0.5,0.72,5,4,FALSE,FALSE
17,frame_0031.jpg,12.4,0.6297,0.5594,0.5,1,7,4,FALSE,FALSE
18,frame_0023.jpg,9.2,0.6282,0.7814,0.125,1,1,1,FALSE,TRUE
19,frame_0032.jpg,12.8,0.6239,0.6228,0.375,1,6,3,FALSE,FALSE
20,frame_0276.jpg,110.4,0.6229,0.8497,0.5,0.24,7,4,FALSE,TRUE
21,frame_0069.jpg,27.6,0.622,0.6189,0.375,1,5,3,FALSE,FALSE
22,frame_0071.jpg,28.4,0.6217,0.6184,0.375,1,6,3,FALSE,FALSE
23,frame_0379.jpg,151.6,0.6191,0.7722,0.75,0.04,8,6,FALSE,FALSE
24,frame_0129.jpg,51.6,0.6146,0.6522,0.375,0.88,5,3,FALSE,FALSE
25,frame_0297.jpg,118.8,0.6099,0.6049,0.625,0.6,8,5,FALSE,FALSE
26,frame_0280.jpg,112,0.6076,0.8301,0.375,0.4,5,3,FALSE,FALSE
27,frame_0067.jpg,26.8,0.6044,0.5088,0.5,1,7,4,FALSE,FALSE
28,frame_0176.jpg,70.4,0.6036,0.7361,0.625,0.24,6,5,FALSE,FALSE
29,frame_0016.jpg,6.4,0.6015,0.503,0.5,1,4,4,FALSE,FALSE
30,frame_0017.jpg,6.8,0.5981,0.5712,0.375,1,3,3,FALSE,FALSE
31,frame_0377.jpg,150.8,0.5977,0.6974,0.75,0.12,9,6,FALSE,FALSE
32,frame_0005.jpg,2,0.594,0.5631,0.375,1,5,3,FALSE,FALSE
33,frame_0131.jpg,52.4,0.5927,0.5765,0.375,0.96,4,3,FALSE,FALSE
34,frame_0368.jpg,147.2,0.5878,0.7847,0.625,0.04,9,5,FALSE,FALSE
35,frame_0387.jpg,154.8,0.5863,0.7925,0.5,0.2,9,4,FALSE,FALSE
36,frame_0170.jpg,68,0.5788,0.5906,0.625,0.48,5,5,FALSE,FALSE
37,frame_0075.jpg,30,0.5777,0.6214,0.25,0.96,6,2,FALSE,FALSE
38,frame_0286.jpg,114.4,0.5765,0.597,0.5,0.64,6,4,FALSE,FALSE
39,frame_0076.jpg,30.4,0.5744,0.5558,0.375,0.92,7,3,FALSE,FALSE
40,frame_0068.jpg,27.2,0.5741,0.4482,0.5,1,5,4,FALSE,FALSE
41,frame_0275.jpg,110,0.5739,0.6178,0.75,0.2,7,6,FALSE,FALSE
42,frame_0079.jpg,31.6,0.5737,0.5275,0.5,0.8,6,4,FALSE,FALSE
43,frame_0030.jpg,12,0.573,0.4459,0.5,1,7,4,FALSE,FALSE
44,frame_0006.jpg,2.4,0.5703,0.5156,0.375,1,4,3,FALSE,FALSE
45,frame_0367.jpg,146.8,0.5683,0.7295,0.625,0.08,7,5,FALSE,FALSE
46,frame_0007.jpg,2.8,0.5677,0.5855,0.25,1,4,2,FALSE,FALSE
47,frame_0388.jpg,155.2,0.5663,0.6936,0.625,0.16,8,5,FALSE,FALSE
48,frame_0003.jpg,1.2,0.565,0.43,0.5,1,6,4,FALSE,FALSE
49,frame_0168.jpg,67.2,0.5634,0.6778,0.375,0.56,5,3,FALSE,FALSE
50,frame_0398.jpg,159.2,0.5634,0.7308,0.5,0.24,7,4,FALSE,FALSE
51,frame_0397.jpg,158.8,0.5582,0.7363,0.5,0.2,7,4,FALSE,FALSE
52,frame_0122.jpg,48.8,0.558,0.651,0.375,0.6,3,3,FALSE,FALSE
53,frame_0386.jpg,154.4,0.5564,0.5668,0.75,0.24,8,6,FALSE,FALSE
54,frame_0293.jpg,117.2,0.5557,0.5824,0.375,0.76,5,3,FALSE,FALSE
55,frame_0374.jpg,149.6,0.5542,0.7284,0.5,0.2,9,4,FALSE,FALSE
56,frame_0278.jpg,111.2,0.553,0.6779,0.5,0.32,8,4,FALSE,FALSE
57,frame_0376.jpg,150.4,0.5505,0.737,0.5,0.16,8,4,FALSE,FALSE
58,frame_0128.jpg,51.2,0.5499,0.6137,0.25,0.84,6,2,FALSE,FALSE
59,frame_0126.jpg,50.4,0.5431,0.4822,0.5,0.76,6,4,FALSE,FALSE
60,frame_0029.jpg,11.6,0.5429,0.4607,0.375,1,4,3,FALSE,FALSE
61,frame_0026.jpg,10.4,0.5393,0.5287,0.25,1,3,2,FALSE,FALSE
62,frame_0295.jpg,118,0.537,0.5769,0.375,0.68,5,3,FALSE,FALSE
63,frame_0175.jpg,70,0.5357,0.5843,0.625,0.28,7,5,FALSE,FALSE
64,frame_0132.jpg,52.8,0.5353,0.4456,0.375,1,5,3,FALSE,FALSE
65,frame_0077.jpg,30.8,0.531,0.6349,0.125,0.88,7,1,FALSE,FALSE
66,frame_0330.jpg,132,0.5293,0.8176,0.375,0.04,7,3,FALSE,FALSE
67,frame_0318.jpg,127.2,0.5276,0.5092,0.75,0.24,6,6,FALSE,FALSE
68,frame_0288.jpg,115.2,0.5235,0.459,0.5,0.72,5,4,FALSE,FALSE
69,frame_0018.jpg,7.2,0.5227,0.4953,0.25,1,5,2,FALSE,FALSE
70,frame_0302.jpg,120.8,0.521,0.6569,0.375,0.4,4,3,FALSE,FALSE
